,"Tube in -	Petit_Complexe	-	2012.09.27 13:25:11","Tube in -	Petit_Complexe	-	2012.09.27 13:25:03","Tube in -	Petit_Complexe	-	2012.09.27 13:31:05","Tube in -	Petit_Complexe	-	2012.09.27 13:30:56","Tube in -	Petit_Complexe	-	2012.09.27 13:33:33","Tube in -	Petit_Complexe	-	2012.09.27 13:33:26","Tube in -	Petit_Complexe	-	2012.09.27 13:34:47","Tube in -	Petit_Complexe	-	2012.09.27 13:34:40","Tube in -	Petit_Complexe	-	2012.09.27 13:36:44","Tube in -	Petit_Complexe	-	2012.09.27 13:36:38","Tube in -	Petit_Complexe	-	2012.09.27 13:38:28","Tube in -	Petit_Complexe	-	2012.09.27 13:38:20","Tube in -	Petit_Complexe	-	2012.09.27 13:40:55","Tube in -	Petit_Complexe	-	2012.09.27 13:40:48","Tube in -	Petit_Complexe	-	2012.09.27 13:42:10","Tube in -	Petit_Complexe	-	2012.09.27 13:42:03","Tube in -	Petit_Complexe	-	2012.09.27 13:45:51","Tube in -	Petit_Complexe	-	2012.09.27 13:45:45","Tube in -	Petit_Complexe	-	2012.09.27 13:47:51","Tube in -	Petit_Complexe	-	2012.09.27 13:47:43","Tube in -	Petit_Complexe	-	2012.09.27 13:49:10","Tube in -	Petit_Complexe	-	2012.09.27 13:49:03","Tube in -	Petit_Complexe	-	2012.09.27 16:57:15","Tube in -	Petit_Complexe	-	2012.09.27 16:57:09"
Freq,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data
1718.5,2.924559355,2.911350489,3.528043032,3.514379263,4.045429707,4.050821781,4.680625439,4.660969257,5.402261734,5.377665997,6.263165474,6.22294569,7.560675144,7.396996021,8.592274666,8.575965881,9.513325691,9.504529953,11.75355148,11.65619087,14.78000641,14.6857214,2.741503239,2.73283124
1719,2.921091318,2.908084869,3.524644136,3.511024952,4.036826134,4.042428493,4.67241478,4.651886463,5.392548084,5.369204044,6.23737669,6.198669434,7.537917614,7.373884201,8.572556496,8.556024551,9.482769012,9.474376678,11.67828274,11.58520508,14.64681435,14.55336475,2.736130953,2.726920605
1719.5,2.912616968,2.899936199,3.514893293,3.500673294,4.021934509,4.027004719,4.65436554,4.633784294,5.374124527,5.351907253,6.202111721,6.16286087,7.500748158,7.336977005,8.537426949,8.520904541,9.435562134,9.427071571,11.58446693,11.49400902,14.49019527,14.39844608,2.73393774,2.724322319
1720,2.895563126,2.88356781,3.49464345,3.479670286,3.994789839,3.999800205,4.621541023,4.601344109,5.339584827,5.318186283,6.148423195,6.108412743,7.43962431,7.276036739,8.47440052,8.457777023,9.358288765,9.349493027,11.45721531,11.36907291,14.29080296,14.20241261,2.724355936,2.71505022
1720.5,2.880787849,2.868709564,3.474948645,3.459532022,3.969568729,3.97466135,4.590447903,4.570745945,5.306722164,5.286123753,6.096711159,6.05711031,7.381124496,7.216528893,8.41322422,8.395941734,9.284245491,9.275105476,11.33708954,11.251297,14.10154724,14.01632023,2.707613468,2.698585987
1721,2.874213934,2.861823559,3.464547396,3.448845863,3.955183744,3.961189032,4.572068214,4.551878452,5.288004875,5.268499851,6.061351776,6.023149967,7.343033314,7.178041935,8.375286102,8.357953072,9.237689972,9.228998184,11.25194645,11.1696701,13.95938778,13.87631798,2.694370747,2.684273243
1721.5,2.869188309,2.856487036,3.454928875,3.439641476,3.943981886,3.950534821,4.556693077,4.536011219,5.273506641,5.255066395,6.030655384,5.993556499,7.310286522,7.14482975,8.344499588,8.327141762,9.200846672,9.193095207,11.17930889,11.10041523,13.83441639,13.75242615,2.687942028,2.676880836
1722,2.857688427,2.844785929,3.437419415,3.421678305,3.925037384,3.931015491,4.530847073,4.509518147,5.248751163,5.231042862,5.987547398,5.950792313,7.260891438,7.096287251,8.297369003,8.279571533,9.146922112,9.13952446,11.08495426,11.00850868,13.6810503,13.60005283,2.681651354,2.670625687
1722.5,2.842776775,2.829926014,3.416034222,3.399561405,3.902095318,3.907366037,4.498999596,4.477191448,5.218569279,5.201370239,5.938196659,5.901306152,7.202292442,7.037524223,8.240579605,8.222183228,9.081360817,9.073922157,10.97463322,10.89954567,13.50596333,13.42812634,2.669520855,2.659974098
1723,2.833295584,2.8207376,3.400191784,3.383614302,3.886582136,3.891195059,4.47416544,4.452626705,5.197305679,5.180941582,5.89947319,5.86282444,7.154676437,6.989771843,8.196228981,8.177219391,9.027462959,9.020419121,10.87923431,10.80589008,13.35002041,13.27523136,2.655148029,2.645838737
