,"Tube in -	Grand_Complexe	-	2012.09.27 11:42:04","Tube in -	Grand_Complexe	-	2012.09.27 11:23:22","Tube in -	Grand_Complexe	-	2012.09.27 11:23:10","Tube in -	Grand_Complexe	-	2012.09.27 11:27:15","Tube in -	Grand_Complexe	-	2012.09.27 11:27:06","Tube in -	Grand_Complexe	-	2012.09.27 11:32:46","Tube in -	Grand_Complexe	-	2012.09.27 11:32:37","Tube in -	Grand_Complexe	-	2012.09.27 11:36:17","Tube in -	Grand_Complexe	-	2012.09.27 11:13:21","Tube in -	Grand_Complexe	-	2012.09.27 11:42:12","Tube in -	Grand_Complexe	-	2012.09.27 16:52:48","Tube in -	Grand_Complexe	-	2012.09.27 11:44:31","Tube in -	Grand_Complexe	-	2012.09.27 11:44:22","Tube in -	Grand_Complexe	-	2012.09.27 16:44:39","Tube in -	Grand_Complexe	-	2012.09.27 16:44:31","Tube in -	Grand_Complexe	-	2012.09.27 16:48:16","Tube in -	Grand_Complexe	-	2012.09.27 16:48:07","Tube in -	Grand_Complexe	-	2012.09.27 16:52:56","Tube in -	Grand_Complexe	-	2012.09.27 11:36:08"
Freq,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data
607.5,12.58346081,9.883618355,9.910281181,10.01825523,10.06345367,10.61231232,10.64569473,11.507411,9.225166321,12.64169312,19.03660202,14.04387379,14.02906227,14.73737431,14.47603512,16.92005348,16.81197739,19.33790779,11.56059456
608,12.26013374,9.665307999,9.690657616,9.794391632,9.838282585,10.36474037,10.39623737,11.22364426,9.033722878,12.31528187,18.40388489,13.66027069,13.64676666,14.33752632,14.09156513,16.41539574,16.3119812,18.68078423,11.27453518
608.5,11.95002079,9.455089569,9.479498863,9.579351425,9.622200966,10.1270504,10.15685081,10.95144272,8.84812355,12.002244,17.79466629,13.29276085,13.28086376,13.95245934,13.71944332,15.9299345,15.82921505,18.05322838,11.0002737
609,11.65216351,9.253236771,9.276595116,9.373244286,9.415092468,9.899380684,9.927420616,10.69059658,8.668830872,11.70164394,17.20806503,12.9399271,12.92930889,13.58035851,13.35904026,15.46204281,15.36208439,17.45232773,10.73724937
609.5,11.36620808,9.05961895,9.082150459,9.176140785,9.216768265,9.681361198,9.707806587,10.44075298,8.495772362,11.41300869,16.64428902,12.6012516,12.59172726,13.22113895,13.00974751,15.01080227,14.91104889,16.87744904,10.48556328
610,11.09153557,8.874619484,8.896357536,8.987816811,9.02742672,9.473087311,9.49799633,10.20164394,8.329657555,11.13576031,16.10269165,12.27563953,12.26707554,12.8740263,12.67197704,14.57568169,14.47597027,16.32790565,10.24463463
610.5,10.82818031,8.698354721,8.719244957,8.808114052,8.846756935,9.274211884,9.297686577,9.973390579,8.170329094,10.87005615,15.58373928,11.96275616,11.95507717,12.53899574,12.34525299,14.15624046,14.05677223,15.80228519,10.01456547
611,10.5751915,8.53045845,8.550560951,8.636928558,8.674622536,9.084505081,9.106711388,9.755385399,8.018167496,10.61491776,15.08652592,11.6622448,11.65518475,12.21574879,12.02918243,13.75240326,13.65327168,15.30004311,9.794698715
611.5,10.3324995,8.370721817,8.390151978,8.4736166,8.510381699,8.903434753,8.92442131,9.546891212,7.872762203,10.37018108,14.61149597,11.37346649,11.36683178,11.90408516,11.72422218,13.36404991,13.26525116,14.82073975,9.584879875
612,10.09926891,8.218455315,8.237156868,8.317552567,8.353524208,8.730379105,8.750326157,9.34750843,7.733599186,10.13510513,14.15890598,11.09573555,11.0897398,11.6036253,11.43018055,12.9912405,12.89347458,14.36465931,9.384244919
